序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
1167,tool,[tu:l],工具,n. 工具,"something (such as a hammer, saw, shovel, etc.) that you hold in your hand and use for a particular task",We have all kinds of useful tools.,我们有各种各样的实用工具。
1168,wild,[wa?ld],荒野,adj.野生的；野性的；狂热的；荒芜的；疯狂的,living or growing in natural conditions; not kept in a house or on a farm,The wild kid is making a big mess in the dining room.,这个孩子太野了，把餐厅搞得一团糟。
1169,vehicle,[?vi:?kl],车辆,n.交通工具，车辆,"a thing that is used for transporting people or goods from one place to another, such as a car or lorry/truck",The vehicle drives off while carrying a container.,那辆车载着一个集装箱开走了。
1170,observe,[?b?z?:v],观察,v. 观察；说，评论,"to watch somebody/something carefully, especially to learn more about them",She observes the liquid very carefully.,她观察液体时十分仔细。
1171,flight,[fla?t],航班,n.航班；空中航行,"a journey made by air, especially in a plane",The flight information is shown on the big screen.,航班信息显示在大屏幕上。
1172,facility,[f??s?l?ti],设施,n.设施，设备,"buildings, services, equipment, etc. that are provided for a particular purpose; a special feature of a machine, service, etc. that makes it possible to do something extra",This facility contains many different kinds of products.,这间车间有很多不同种类的产品。
1173,understanding,[??nd??st?nd??],理解,n.理解；（非正式）协议；  adj.体谅的，谅解的,the knowledge that somebody has about a particular subject or situation,It's impossible to get an understanding when he talks that way.,他那样说话，我完全无法理解。
1174,average,[??v?r?d?],平均的,n.平均数；  adj.通常的；  vt.平均为,"the result of adding several amounts together, finding a total, and dividing the total by the number of amounts",His height equals the average of his parents' heights.,他的身高等于他父母身高的平均数。
1175,emerge,[i?m?:d?],出现,vi.出现，冒出；浮现,"(of facts, ideas, etc.) to become known",A little rabbit emerged from the hole to look for food.,一只小兔子从洞口钻出来找吃的。
1176,advantage,[?d?vɑ:nt?d?],优势,n.优势,a thing that helps you to be better or more successful than other people,The rocket gives him an unfair advantage!,火箭给了他优势，这不公平！
1177,quick,[kw?k],快的,adj. 迅速的，快捷的,fast in moving or reacting,The rescue team were quick to save people from the earthquake.,搜救队迅速救援地震中的人们。
1178,leadership,[?li:d???p],领导能力,n. 领导，领导地位；领导能力,"the leaders of a group, organization, or country","Under his leadership, they made it to the top!",他们在他的领导下登上了山顶！
1179,earn,[?:n],赚,v.挣得，赚得,to get money for work that you do,She earns some extra money by working a part-time job.,她通过做兼职赚了些外快。
1180,pound,[pa?nd],磅,n.磅（重量单位）；英镑；  v.（连续）猛击，捣碎,"the unit of money in the UK, worth 100 pence; a unit for measuring weight, equal to 0.454 of a kilogram",Pound sterling is the national currency of the United Kingdom.,英镑是英国的国家货币。
1181,basis,[?be?s?s],基础,n.基础,"the important facts, ideas or events that support something and that it can develop from",The basis of his teaching is taken from this book.,他的教义基于这本书。
1182,bright,[bra?t],明亮的,adj.明亮的,full of light; shining strongly,He opened the window and the room became bright.,他打开窗户，房间就变得明亮起来。
1183,operate,[??p?re?t],操作,v.做手术；运转,to cut open somebody’s body in order to remove a part that has a disease or to repair a part that is damaged,The doctors are operating on the patient.,医生们正在给病人做手术。
1184,guest,[gest],客人,n.客人，宾客,a person that you have invited to your house or to a particular event that you are paying for,We are waiting at the door for the arrival of our guests.,我们在门口等待客人的到来。
1185,sample,[?sɑ:mpl],样本,n. (用于检验、分析的) 试样，样品；  adj.样品的，作为例子的；  vt.抽样检查；抽取……的试样,a small amount of a substance taken from a larger amount and tested in order to obtain information about the substance,I'll need a sample of your blood to see if you're sick.,我需要你的血样来确定你是不是生病了。
1186,contribute,[k?n?tr?bju:t],贡献,v. 捐献，捐助,"to give something, especially money or goods, to help somebody/something",Many people contribute money to help people in need.,很多人捐钱来帮助有需要的人们。
1187,tiny,[?ta?ni],微小的,adj. 矮小的；很少的；微小的,very small in size or amount,The kitten is so tiny that it could be held in one hand.,这只猫咪好小，一只手就可以把它托起。
1188,block,[bl?k],堵塞,v.阻挡，妨碍，阻塞；  n.块状物；街区；阻碍；大厦,to stop somebody from going somewhere or seeing something by standing in front of them or in their way,The fallen tree blocks the way.,这棵倒地的树阻挡了去路。
1189,protection,[pr??tek?n],保护,n.保护，防卫,the act of protecting somebody/something; the state of being protected,Everyone should get involved in environmental protection.,每个人都应该投身到环境保护工作中来。
1190,settle,[?setl],定居,v.定居，安顿；结束（争论）；解决（纠纷）；调停,to make yourself or somebody else comfortable in a new position; to put something carefully in a position so that it does not move; to become or make somebody/something become calm or relaxed The baby wouldn't settle.,He built himself a house and decided to settle there.,他给自己建了一所房子，并决定在那里安顿下来。
1191,feed,[fi:d],喂养,v.喂，饲养,to give food to a person or an animal;  (of a baby or an animal) to eat food,I used to nurse my baby; now I just feed him out of the bottle.,我过去要亲自给宝宝喂奶，现在只要用瓶子喂他就行了。
1192,collect,[k??lekt],收集,v. 收集；领取,to buy or find things of a particular type and keep them as a hobby,I collect old stamps for fun.,我因为好玩而收集旧邮票。
1193,additional,[??d???nl],额外的,adj. 增加的；附加的,more than was first mentioned or is usual,Each additional scoop made the ice cream taste even more delicious.,每多一个球都让这个冰激凌变得更好吃了。
1194,highly,[?ha?li],高度,adv.高度地，非常，赞许地,very,I highly recommend you today's special dish—snail and goose liver with red wine!,我强烈向你推荐今天的特别菜品，蜗牛、鹅肝配红酒！
1195,identity,[a??dent?ti],身份,n.身份；特性,who or what somebody/something is,He took out his identity card to show who he was.,他掏出身份证来表明自己是谁。
1196,title,[?ta?tl],标题,n.标题；  vt.授予……称号,"the name of a book, poem, painting, piece of music, etc.",That title is more attractive than the content.,那个标题比内容更加吸引人。
1197,mostly,[?m??stli],大多,adv. 大多,,The cake is mostly cream.,这个蛋糕大部分是奶油。
1198,lesson,[?lesn],一课时,n.课，一课时；单元，课程,"a period of time in which somebody is taught something; something that is intended to be learned; an experience, especially an unpleasant one, that somebody can learn from so that it does not happen again in the future",The girl is taking a tennis lesson.,女孩正在上网球课。
1199,faith,[fe?θ],信仰,n.宗教信仰；信心,strong religious belief,Many people go on an annual pilgrimage to this sacred place to express their faith.,很多人每年会到这个神圣的地方来参拜，以表达他们的信仰。
1200,river,[?r?v?(r)],河,n.河，江,a natural flow of water that continues in a long line across land to the sea/ocean,This river brings fresh water from the mountains.,河流从山里带来了淡水。
1201,promote,[pr??m??t],推动,vt.提升，晋升,to move somebody to a higher rank or more senior job,She worked hard and was soon promoted.,她工作勤奋，不久就要得到提升了。
1202,living,[?l?v??],活的,adj.活的；  n.生活，生计,alive now,Most living things can't live without sunlight and water.,大多数生物都离不开阳光和水。
1203,count,[ka?nt],数数,v. 计算；认为；  n. 计算,to add (people or things) together to find the total number,I try to count sheep when I want to fall asleep.,当我想睡觉的时候，我就尝试着数绵羊。
1204,unless,[?n?les],除非,conj. 除非，如果不；除……外,used to say that something can only happen or be true in a particular situation,I won't buy you that toy unless you get a full mark.,我不会给你买玩具的，除非你得了一百分。
1205,marry,[?m?ri],结婚,v. 娶，嫁，结婚,to become the husband or wife of somebody; to get married to somebody; to perform a ceremony in which a man and woman become husband and wife,They finally get married. The story has a happy ending!,最终，他们结婚了。结局皆大欢喜！
1206,tomorrow,[t??m?r??],明天,n.明天；未来,the day after today,"Today is the 11th, so tomorrow will be the 12th.",今天是11日，所以明天是12日。
1207,technique,[tek?ni:k],技术,n.技巧，技能；技术，方法,the way that a person performs basic physical movements or skills,The musician combines different techniques in the performance.,这位音乐家在表演中结合了不同的演奏技巧。
1208,path,[pɑ:θ],小路,n.小路,a way or track that is built or is made by the action of people walking,Follow the path through the forest and you won't get lost.,沿着这条森林小径走，你就不会迷路。
1209,ear,[??(r)],耳朵,n.耳朵；灵敏的听力,either of the organs on the sides of the head that you hear with,The dog's ears are up.,这只狗竖起了耳朵。
1210,shop,[??p],店铺,n.商店；  v.买东西,a building or part of a building where you can buy goods or services,I often shop at the supermarket with my family.,我经常和家人一起去超市购物。
1211,folk,[f??k],民间,adj.民间的，民俗的；  n.人们,"(of art, culture, etc.) traditional and typical of the ordinary people of a country or community",Many Chinese folk arts are still enjoyed today.,许多中国民间艺术在今天依然为人所热爱。
1212,principle,[?pr?ns?pl],原则,n.原则,a moral rule or a strong belief that influences your actions; a general or scientific law that explains how something works or why something happens,Our business success is based on four fundamental principles.,我们生意的成功基于四项基本原则。
1213,survive,[s??va?v],存活,vt.幸存；艰难度过；  vi.生存，活着,to continue to live or exist,The girl survived the shipwreck.,这个女孩在海难中幸存了下来。
1214,lift,[l?ft],举起,v. （使）升起，举起；  n. 免费搭车,to raise somebody/something or be raised to a higher position or level,She's lifting her baby up above her head.,她把宝宝举过了头顶。
1215,border,[?b?:d?(r)],边界,n.边界；边沿；  v.近似；为……镶边,the line that divides two countries or areas; the land near this line,There is a distinct border between the urban and the rural areas.,城市与农村之间有一条明显的边界。
1216,competition,[?k?mp??t??n],竞赛,n. 比赛；竞争者,an event in which people compete with each other to find out who is the best at something,Who is going to win this competition?,谁会赢得这场比赛呢？
1217,jump,[d??mp],跳,v. 跳；暴涨,to move quickly off the ground or away from a surface by pushing yourself with your legs and feet,She was so happy that she jumped for joy.,她高兴得都跳起来了。
1218,gather,[?g?e?(r)],收集,v.集合；  n.聚集,"to come together, or bring people together, in one place to form a group; to collect plants, fruit, etc. from a wide area; to reach a conclusion often intuitively from hints or through inferences",The students are gathering for the flag-raising ceremony.,学生在操场集合，参加升旗仪式。
1219,limit,[?l?m?t],限制,n.限制；限度；  vt.限制，限定,a point beyond which someone is not allowed to go,The car should follow the speed limit.,汽车应该按限速行驶。
1220,fit,[f?t],合身,n.匹配，相配；合身；  v.适合；  adj.合适的,the way that two things match each other or are suitable for each other,They two are a perfect fit and I'm sure they are good friends!,这两人太搭了！它们肯定是好朋友！
1221,cry,[kra?],哭,v.哭泣；  n.哭声，嚎叫,"to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions",Who was making her cry? I hoped it wasn't me.,谁把她弄哭了？我希望不是我。
1222,equipment,[??kw?pm?nt],设备,n.设备,the things that are needed for a particular purpose or activity,Students now enjoy using the exercise equipment for working out.,现在的学生都喜欢使用健身器材运动。
1223,worth,[w?:θ],值得,adj.值……钱；  n.价值,"having a value in money, etc.",My house is worth two hundred thousand dollars.,我的房子值二十万美元。
1224,associate,[??s???ie?t],联系,v.联系，联想；联合；  n.伙伴；同事，合作人；  adj.副的,to make a connection between people or things in your mind,I associate this picture with a star.,这图片让我联想到了星星。
1225,critic,[?kr?t?k],评论家,n.评论家,"a person who gives opinions about books, movies, or other forms of art",I enjoy working as a movie critic.,我喜欢做电影评论家。
1226,warm,[w?:m],温暖的,adj.温暖的；  v.使温暖,"at a fairly high temperature in a way that is pleasant, rather than being hot or cold","The weather cooled off, so we made a fire to keep warm.",天气变凉了，所以我们生火取暖。
1227,aspect,[??spekt],方面,n.（问题等的）方面,"a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered",This passage is written from three aspects.,这篇文章是从三个方面来写的。
1228,insist,[?n?s?st],坚持,v. 坚持要求；坚持认为,to demand that something happens or that somebody agrees to do something,His mother insists that he should put on his warm pants.,男孩的妈妈坚持要他穿秋裤。
1229,failure,[?fe?lj?(r)],失败,n. 失败者,a person or thing that is not successful,"If I can't increase sales, I'll be a failure!",如果不能增加销售额，我就是一个失败者！
1230,annual,[??nju?l],年度的,adj.年度的，一年一次的；  n.年鉴,happening or done once every year; relating to a period of one year,They were the winners of this annual competition.,她们是这个一年一度的比赛的历届冠军。
1231,French,[frent?],法语,adj.法国的；法国人的；  n.法语,"of or connected with France, its people or its language",These icons are all closely related to French culture.,这些图标都与法国文化密切相关。
1232,Christmas,[?kr?sm?s],圣诞节,n.圣诞节,"25 December, the day when Christians celebrate the birth of Christ",Christmas is a traditional festival in Western countries.,圣诞节是西方国家的传统节日。
1233,comment,[?k?ment],评论,n.评论，议论；  v.评论，表达意见,something that you say or write which gives an opinion on or explains somebody/something,She is reading the comments on her selfie.,她正在看自己自拍下的评论。
1234,responsible,[r??sp?ns?bl],负责任的,adj.有责任的，负责的,"having the job or duty of doing something or taking care of somebody/something, so that you may be blamed if something goes wrong",The dog was responsible for this mess.,这只狗要对这片混乱负责。
1235,affair,[??fe?(r)],事务,n.事情，事务,events that are of public interest or political importance,The CEO is handling some commercial affairs.,这位CEO正在处理一些商务事宜。
1236,procedure,[pr??si:d??(r)],程序,n.步骤,"the official or formal order or way of doing something, especially in business, law or politics",There're three steps in the procedure of hot-dog production.,热狗的生产过程包括三个步骤。
1237,regular,[?regj?l?(r)],常规的,adj.定期的，有规律的；经常的；匀称的；  n.正式队员,"following a pattern, especially with the same time or space in between each thing and the next",We have a regular meeting on every Monday morning.,我们每个星期一早晨都有例会。
1238,spread,[spred],传播,v.抹，敷；伸开，伸展；散布，传播；摊开；  n.伸开，伸展；散布，传播；活动范围,to open something that has been folded so that it covers a larger area than before; to arrange objects so that they cover a large area and can be seen easily,I like to spread butter on the bread before making a sandwich.,做三明治之前，我喜欢在面包上涂点黄油。
1239,chairman,[?t?e?m?n],主席,n.主席，董事长,"the person in charge of a committee, a company, etc.",Mr. Ma is the chairman of Alibaba Group.,马云先生是阿里巴巴集团的主席。
1240,baseball,[?be?sb?:l],棒球,n. 棒球（运动）,"a game played especially in the US by two teams of nine players, using a bat (1) and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball.",Baseball is a popular American sport.,棒球是一项很受欢迎的美国运动。
1241,soft,[s?ft],柔软的,adj. 软的；细嫩的，光滑的；  n. 柔软的东西；  adv. 柔软地，柔和地,smooth and pleasant to touch,This material looks so soft.,这种材质看起来很柔软。
1242,ignore,[?g?n?:(r)],忽略,v.忽视,to pay no attention to something,The boy's parents ignored him as they were doing their own things.,男孩的父母忽略了他，只顾着自己的事。
1243,egg,[eg],蛋,n.蛋，卵,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object produced by a female fish, insect, etc.; a bird’s egg, especially one from a chicken, that is eaten as food; a cell that combines with a sperm to create a baby or young animal",The eggs were put in the basket.,篮子里盛着鸡蛋。
1244,belief,[b??li:f],信仰,n.信仰；被信仰之物,a feeling of being sure that someone or something exists or that something is true,The rights and wrongs of eating meat are subject to personal beliefs.,吃肉的做法正确与否，取决于个人的信仰。
1245,demonstrate,[?dem?nstre?t],证明,vt.演示，展示；（用实例、实验）论证；示范,"to show (a quality, feeling, etc.) clearly to other people",The salesman demonstrates how the device works on a watermelon.,推销员在演示怎么操作切瓜神器。
1246,anybody,[?enib?di],任何人,pron. 随便哪个人,any person at all; it does not matter who,Hello? Is there anybody home?,您好？有人在家吗？
1247,murder,[?m?:d?(r)],谋杀,n.谋杀，凶杀；  vt.谋杀，凶杀,the crime of killing somebody deliberately,The cow chef was arrested for murder by the chicken policeman.,牛厨师因为谋杀而被鸡警察逮捕。
1248,gift,[g?ft],礼物,n.天赋,"a thing that you give to somebody, especially on a special occasion or to say thank you",She has a gift for math.,她有数学天赋。
1249,religion,[r??l?d??n],宗教,n. 宗教信仰；虔诚的追求,"the belief in the existence of a god or gods, and the activities that are connected with the worship of them, or in the teachings of a spiritual leader",His religion taught him to be kind.,他的宗教信仰教他要善良。
1250,review,[r??vju:],审查,vt.复习；回顾；  n.复习,"to look again at something you have studied, especially in order to prepare for an exam",The girl is reviewing her homework for tomorrow's big test.,那个女孩在为明天的重要考试复习。
1251,editor,[?ed?t?(r)],编辑,n.编辑；主编,"a person who prepares a book to be published, for example by checking and correcting the text, making improvements, etc.",The video editor is using special computer software to do his work.,这位视频编辑正在用特殊的电脑软件工作。
1252,engage,[?n?ge?d?],从事,v.使加入，使融入；（军队）交战,to begin fighting with somebody,"She used to exercise alone, but now she engages in the group running.",她之前一般独自锻炼，但现在她加入了集体跑步的行列。
1253,coffee,[?k?fi],咖啡,n. 咖啡；咖啡豆,a hot drink made from coffee powder and boiling water. It may be drunk with milk and/or sugar added.,Coffee is a drink made with water and ground coffee beans.,咖啡是用水和磨碎的咖啡豆制成的饮料。
1254,document,[?d?kjum?nt],文档,n. 文件，公文；  v. 记录；证明,"an official paper or book that gives information about something, or that can be used as evidence or proof of something",He checks out the document before signing it.,在签署文件之前，他仔细检查了一遍。
1255,speed,[spi:d],速度,n.速度，速率；  v.加速,the rate at which someone or something moves or travels; the rate at which something happens or is done; the quality of being quick or rapid,The train is traveling at a speed of 300 km/h!,列车的运行速度是300 km/h！
1256,cross,[kr?s],穿过,v.穿过；使交叉；  n.十字架,go across; pass from one side to the other side,The father crosses the road with his two sons.,这位父亲带着两个儿子过马路。
1257,influence,[??nflu?ns],影响,n.影响；  vt.影响,the effect that somebody/something has on the way a person thinks or behaves or on the way that something works or develops; the power that somebody/something has to make somebody/something behave in a particular way,His mother was a main influence on his becoming a pianist.,他成为一名钢琴家主要是受了他母亲的影响。
1258,anyway,[?eniwe?],反正,adv.无论如何，总之,,He can't reach the other side of the river anyway.,他无论如何也到不了河对岸。
1259,threaten,[?θretn],威胁,vt.威胁；危及；预示……的恶兆；  v.恐吓,"to say that you will cause trouble, hurt somebody, etc. if you do not get what you want",The landlord threatened to kick out the tenant if he didn't pay the rent.,房东威胁租客，如果再不付房租就把他赶出去。
1260,commit,[k??m?t],犯罪,v.犯（罪）；进行 (自杀)；承诺，保证,to do something wrong or illegal; to kill yourself deliberately,The fox committed a crime and was sent to prison.,狐狸犯了罪，并被抓进了监狱。
1261,female,[?fi:me?l],女性,adj. 女性的；雌性的；  n. 女子；雌性植物,a woman or a girl,This is a pink symbol of female.,这是个代表女性的粉色标志。
1262,youth,[ju:θ],青年,n.青年,young people considered as a group,Youth is the symbol of hope.,青年是希望的象征。
1263,wave,[we?v],海浪,n.海浪，波浪；挥手；  v.挥手，招手,"an area of moving water that is raised above the main surface of an ocean, a lake, etc.",The waves are washing off the drawing on the beach.,浪花就快把海滩上的画冲掉了。
1264,afraid,[??fre?d],害怕的,adj.害怕的,feeling fear,The dog looks afraid of the man.,这只狗看上去害怕这个男人。
1265,quarter,[?kw?:t?(r)],四分之一,n.四分之一；一个季度；一刻钟,one of four equal parts of something,This stopwatch shows that a quarter of a minute has passed.,秒表显示已经过去了十五秒。
1266,background,[?b?kgra?nd],背景,n. 图片背景，底色；出身；背景；时代背景,"the part of a picture, photograph or view behind the main objects, people, etc.; a colour or design on which something is painted, drawn, etc.",I have a photograph with the sea in the background.,我有张照片的背景是大海。
1267,native,[?ne?t?v],本国的,adj.本地的，本国的；与生俱来的；  n.当地动植物,"connected with the place where you were born and lived for the first years of your life; connected with the place where you have always lived or have lived for a long time; connected with the people who originally lived in a country before other people, especially white people, came there",American Indians are the people native to the United States.,印第安人是美国的原住民。
1268,broad,[br?:d],广阔,adj.宽阔的；广阔的,wide,This road is broad enough for many cars to drive on.,这条道路足够宽，可以容纳很多车行驶。
1269,wonderful,[?w?nd?fl],精彩的,adj. 极好的，精彩的；惊人的，奇妙的,extremely good,Many people have wonderful things to say about this English learning app.,人们对这款英语学习应用有极好的评价。
1270,deny,[d??na?],否定,vt.否认,to say that something is not true; to refuse to admit or accept something; to refuse to allow somebody to have something that they want or ask for,"I'm trying to lose weight, so I have to deny myself that delicious cake.",我在减肥，所以我得拒绝那美味的蛋糕。
1271,apparently,[??p?r?ntli],显然,adv. 显然,readily understood; clear or obvious,"Apparently, this chair is too small for the elephant.",对大象来说，这把椅子显然太小了。
1272,slightly,[?sla?tli],轻微地,adv.稍微，轻微地,in a very small amount or degree; a little,The door is open just slightly so that the sunlight can come in.,门被稍微打开了一点，这样阳光可以照进来。
1273,reaction,[ri??k?n],反应,n. 反应,"what you do, say or think as a result of something that has happened",The audience have different reactions to the same movie.,对于同一部电影，观众们有着不同的反应。
1274,twice,[twa?s],两次,adv.两次,doubled in amount or degree,I go swimming twice a week.,我一周游两次泳。
1275,suit,[su:t],套装,n.西服，套装；服装；诉讼；  v.适合；满足……需要；相配,"a set of clothes made of the same cloth, including a jacket and trousers/pants or a skirt",The businessman is wearing a gray suit.,这位商人穿着一套灰色西装。
1276,perspective,[p??spekt?v],看法,n.角度，观点,"a view, especially one in which you can see far into the distance",He analyzed the advantages and disadvantages of sharing bikes from different perspectives.,他从不同的角度分析了共享单车的利弊。
1277,growing,[?gr????],生长,生长,,,
1278,blow,[bl??],吹,v. 吹，吹动，吹气；爆炸；  n. 打击，殴打,to cause (air or something carried by air) to move,The kid likes to blow bubbles.,这个小孩喜欢吹泡泡。
1279,construction,[k?n?str?k?n],建造,n.建造物,"the process or method of building or making something, especially roads, buildings, bridges, etc.;  the way that something has been built or made",I work in construction — I build houses.,我在建筑行业工作——我盖房子。
1280,intelligence,[?n?tel?d??ns],智力,n.智力；情报；理解力,"the ability to learn, understand and think in a logical way about things; the ability to do this well",Stephen Hawking was a man of great intelligence.,斯蒂芬·霍金是一个智商很高的人。
1281,destroy,[d??str??],破坏,vt.摧毁,"to damage something so badly that it no longer exists, works, etc.; to kill an animal deliberately, usually because it is sick or not wanted",The stupid dog destroyed my sofa!,那只傻狗毁掉了我的沙发！
1282,cook,[k?k],厨师,n.厨师；  v.烹饪；煮，烧,a person who cooks food or whose job is cooking,My boyfriend is a great cook. Look at all these delicious food!,我男朋友是个很棒的厨师。看看这些美食！
1283,connection,[k??nek?n],联系,n.连接,the act of connecting or the state of being connected,Each one of these cables is an Internet connection.,这儿的每一条线缆都是互联网上的一次连接。
1284,burn,[b?:n],烧伤,v.烧；  n.烧伤,"to destroy, damage, injure or kill somebody/something by fire; to be destroyed, etc. by fire",The forest is burning! What a disaster!,森林着火了！这真是场灾难！
1285,shoe,[?u:],鞋,n.鞋,"one of a pair of outer coverings for your feet, usually made of leather or plastic",There are two pairs of sports shoes on the floor.,地上有两双运动鞋。
1286,grade,[gre?d],年级,n.等级，成绩；  v.给（试卷或作业）评分,a mark given in an exam or for a piece of school work,The little girl is delighted with her excellent grade.,小女孩为她的优异成绩而感到高兴。
1287,context,[?k?ntekst],语境,n. 上下文，语境；背景,the situation in which something happens and that helps you to understand it,We need the context to choose the right answer.,我们需要上下文才能选出正确答案。
1288,committee,[k??m?ti],委员会,n.委员会；全体委员,"a group of people who are chosen, usually by a larger group, to make decisions or to deal with a particular subject",The committee members come together to make decisions for the group they represent.,委员会成员代表着他们各自的组织来开会做决议。
1289,hey,[he?],嘿,嘿,,,
1290,mistake,[m??ste?k],错误,n. 错误，过失；  v. 误解，弄错,"something that is not correct; a wrong action, statement, or judgment",The little boy made a mistake in his math homework.,这个小男孩在数学作业中犯了一个错误。
1291,location,[l???ke??n],地点,n. 位置，地点；外景拍摄地,a place where something happens or exists; the position of something,I found the location on the map.,我在地图上找到了这个位置。
1292,clothes,[kl??ez],衣服,n.衣服,the things that people wear to cover their bodies and that are usually made from cloth,I hung the clothes on the washing line.,我把衣服挂在了晾衣绳上。
1293,Indian,[??ndi?n],印度人,adj. 印度的；印第安人的；  n. 印第安人,"of or connected with India, its people or its language",Indian clothing and jewelry are very beautiful.,印度的服饰和珠宝非常漂亮。
1294,quiet,[?kwa??t],安静的,adj.安静的；  n.安静，平静；  v.使安静，平静,without many people or much noise or activity,Please be quiet.,请保持安静。
1295,dress,[dres],裙子,n. 连衣裙；  v. 打扮，穿着,"a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles",We have kinds of dresses in our store. Try one on!,本店有各种款式的连衣裙，欢迎试穿！
1296,promise,[?pr?m?s],承诺,n.诺言；成功的迹象；吉兆；  v.预示,a verbal commitment by one person to another agreeing to do (or not to do) something in the future,We make a promise by pulling each other's little finger.,我们拉钩来许下承诺。
1297,aware,[??we?(r)],意识到的,adj.意识到的，察觉到的,"interested in and knowing about something, and thinking it is important",He suddenly became aware of how to figure out the problem.,他突然知道该怎么解决这道难题了。
1298,neighbor,['ne?b?],邻居,n. 邻居，邻人,a person who lives next to you or near you,"We live in the same apartment block, so we are neighbors.",我们住在同一栋楼，所以我们是邻居。
1299,function,[?f??k?n],功能,n.功能，作用，机能；  v.正常工作，运转,the special purpose or activity for which a thing exists or is used,This kind of bottle with holes has many useful functions.,这种带孔的瓶子有许多实用的功能。
1300,bone,[b??n],骨头,n.骨头,any of the hard parts that form the skeleton of the body of a human or an animal,"""I really want to eat some bones!"" the dog said.",狗狗说：”我真想吃些骨头啊！“
1301,active,[??kt?v],积极的,adj.积极的，主动的；起作用的，有效的,"always busy doing things, especially physical activities; doing something regularly; functioning;",Students should take an active approach to studying.,学生们应该采取积极有效的学习方法。
1302,extend,[?k?stend],延长,v. 伸展，展开；延伸；扩展,"to cause (something, such as your arm or leg) to straighten out or to stretch out","To reach the roof, he must extend the ladder.",为了够得着房顶，他必须把梯子展开。
1303,chief,[t?i:f],首席,n.负责人，老板；首领，酋长；  adj.主要的，最重要的；首席的，最高级别的,(often as a title) a leader or ruler of a people or community; a person with a high rank or the highest rank in a company or an organization,It's clear that the man with red hair is the chief of this barber shop.,很明显，这个红头发的男人是理发店老板。
1304,combine,[k?m?ba?n],结合,v.混合，结合，联合,to come together in order to work or act together; to put two things or groups together so that they work or act together,She combines eggs with other food to make a cake.,她把鸡蛋和其他食材混合起来用于做蛋糕。
1305,wine,[wa?n],葡萄酒,n.葡萄酒,an alcoholic drink made from the juice of grapes that has been left to ferment,Red wine is made from high quality grapes.,红葡萄酒是用优质葡萄酿制的。
1306,below,[b??l??],以下,prep.在……之下；  adv.在下面,at or to a lower level or position than somebody/something,Most of the iceberg is hidden below the water.,大部分冰山都隐藏在水下。
1307,cool,[ku:l],凉爽的,adj.凉的；  v.（使）冷却,"to become or to make somebody/something become cool or cooler; to become calmer, less excited or less enthusiastic",Washing face with cold water is so cool.,用冷水洗脸特别凉爽！
1308,voter,[?v??t?(r)],选民,n. 投票人，选举人；有投票权的人,"a person who votes or has the right to vote, especially in a political election",Every student is a voter in the monitor election.,在班长选举中，每位同学都是投票人。
1309,learning,[?l?:n??],学习,n. 学习；知识,"the activity or process of gaining knowledge or skill by studying, practicing, being taught, or experiencing something; the activity of someone who learns",Mom often helps me with my learning.,妈妈经常在学习上给我帮助。
1310,bus,[b?s],公共汽车,n. 公共汽车,"a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off",Let's take the bus to the next city.,让我们乘公交车去下一个城市吧。
1311,hell,[hel],地狱,n. 地狱，阴间；苦境，极大的痛苦,the place where the devil lives and where evil people go after they die according to some religions,Hell is a place with raging fire that is vividly described in the Bible.,《圣经》里生动地描绘了燃着熊熊大火的可怕地狱。
1312,dangerous,[?de?nd??r?s],危险的,adj.有危险的，引起危险的,"likely to injure or harm somebody, or to damage or destroy something",It's very dangerous to open the car door without looking back.,不看后面就打开车门是很危险的。
1313,remind,[r??ma?nd],提醒,vt.提醒，使想起,"to help somebody remember something, especially something important that they must do",My phone reminded me that I have an appointment this afternoon.,我的手机提醒我下午还有一个约会。
1314,moral,[?m?r?l],道德,adj. 道德（上）的，道义的；  n. 道德，品行,concerned with principles of right and wrong behaviour; following the standards of behaviour considered acceptable and right by most people,"To return the money you found or not, it's a moral dilemma.",捡到的钱要不要还回去，这是一个道德难题。
1315,United,[j?'na?t?d],团结的,adj.团结的，和谐的,in agreement and working together,The six of us are united and working on a business plan together.,我们六人团结一致，一起制定商业计划。
1316,category,[?k?t?g?ri],类别,n. 类别；范畴,a group of people or things with particular features in common,These fruits and vegetables are divided into four categories according to their color.,这些蔬果根据颜色被分成了四类。
1317,relatively,[?rel?t?vli],相对地,adv.比较地，相对地,"to a fairly large degree, especially in comparison to something else","Relatively, there isn't obvious difference when a 160 cm girl stands by a 170 cm boy.",相比较而言，一米六的女生和一米七的男生站在一起没有明显的身高差。
1318,victory,[?v?kt?ri],胜利,n.胜利,success in defeating an opponent or enemy,The V-shaped gesture is the symbol of victory.,V形手势是胜利的象征。
